block_id,entry_index,direction,signal_time,entry_time,exit_time,entry,initial_sl,tp,exit,lots,risk_pips,gross_pips,net_pips,pnl_usd,reason,capital_after
19,656,long,2026-05-27 17:05:00,2026-05-27 17:06:00,2026-05-27 17:50:00,1.1640300000000001,1.1630855,1.1659190000000004,1.16398,0.95,9.445000000001258,-0.5000000000010552,-0.5000000000010552,-4.750000000010024,BE,9995.249999999989
68,1620,short,2026-05-28 09:11:00,2026-05-28 09:12:00,2026-05-28 09:20:00,1.16007,1.16064,1.15893,1.16069,1.49,5.699999999999594,-6.200000000000649,-6.200000000000649,-92.38000000000967,SL,9902.869999999979
140,3246,short,2026-05-29 12:19:00,2026-05-29 12:20:00,2026-05-29 12:58:00,1.16357,1.16417,1.1623700000000001,1.16422,1.41,5.999999999999339,-6.500000000000394,-6.500000000000394,-91.65000000000555,SL,9811.219999999974
134,3408,short,2026-05-29 15:01:00,2026-05-29 15:02:00,2026-05-29 16:21:00,1.1645299999999998,1.16525,1.1630899999999997,1.1653,1.19,7.200000000000539,-7.7000000000015945,-7.7000000000015945,-91.63000000001898,SL,9719.589999999955
172,3678,long,2026-05-29 19:31:00,2026-05-29 19:32:00,2026-05-29 21:00:00,1.1670600000000002,1.16616,1.1688600000000005,1.16611,0.97,9.00000000000123,-9.500000000002284,-9.500000000002284,-92.15000000002215,SL,9627.439999999933
166,3950,long,2026-06-01 00:06:00,2026-06-01 00:07:00,2026-06-01 03:26:00,1.16535,1.164566,1.1669180000000003,1.1645159999999999,1.08,7.840000000001179,-8.340000000002235,-8.340000000002235,-90.07200000002413,SL,9537.36799999991
240,5031,short,2026-06-01 18:07:00,2026-06-01 18:08:00,2026-06-01 18:30:00,1.1616799999999998,1.1625699999999999,1.1598999999999997,1.16262,0.96,8.900000000000574,-9.40000000000163,-9.40000000000163,-90.24000000001564,SL,9447.127999999893
223,5055,short,2026-06-01 18:31:00,2026-06-01 18:32:00,2026-06-01 20:29:00,1.16234,1.16313,1.1607599999999998,1.16318,1.06,7.900000000000684,-8.40000000000174,-8.40000000000174,-89.04000000001844,SL,9358.087999999874
242,5319,long,2026-06-01 22:55:00,2026-06-01 22:56:00,2026-06-02 04:47:00,1.16301,1.16239,1.1642500000000002,1.16296,1.29,6.200000000000649,-0.5000000000010552,-0.5000000000010552,-6.4500000000136115,BE,9351.63799999986
244,6403,long,2026-06-02 17:01:00,2026-06-02 17:02:00,2026-06-02 18:03:00,1.1640400000000002,1.16346,1.1652000000000007,1.16399,1.37,5.80000000000247,-0.5000000000010552,-0.5000000000010552,-6.850000000014456,BE,9344.787999999846
252,7734,long,2026-06-03 15:14:00,2026-06-03 15:15:00,2026-06-03 15:28:00,1.1614600000000002,1.1608,1.1627800000000004,1.16075,1.22,6.6000000000010495,-7.100000000002105,-7.100000000002105,-86.62000000002567,SL,9258.16799999982
