block_id,entry_index,direction,signal_time,entry_time,exit_time,entry,initial_sl,tp,exit,lots,risk_pips,gross_pips,net_pips,pnl_usd,reason,capital_after
142,3246,short,2026-05-29 12:19:00,2026-05-29 12:20:00,2026-05-29 12:58:00,1.16351,1.16419,1.16215,1.1643000000000001,0.99,6.800000000000139,-7.900000000000684,-8.900000000000684,-88.11000000000676,SL,9911.889999999994
135,3408,short,2026-05-29 15:01:00,2026-05-29 15:02:00,2026-05-29 16:21:00,1.16447,1.16525,1.1629099999999999,1.16536,0.9,7.800000000000029,-8.900000000000574,-9.900000000000574,-89.10000000000517,SL,9822.789999999988
167,3950,long,2026-06-01 00:06:00,2026-06-01 00:07:00,2026-06-01 03:26:00,1.16541,1.1645649999999999,1.1671000000000005,1.1644549999999998,0.84,8.450000000002067,-9.550000000002612,-10.550000000002612,-88.62000000002195,SL,9734.169999999966
223,5055,short,2026-06-01 18:31:00,2026-06-01 18:32:00,2026-06-01 20:29:00,1.16228,1.16313,1.16058,1.16324,0.83,8.500000000000174,-9.600000000000719,-10.600000000000719,-87.98000000000597,SL,9646.189999999959
252,7734,long,2026-06-03 15:14:00,2026-06-03 15:15:00,2026-06-03 15:28:00,1.16152,1.1608,1.1629600000000002,1.16069,0.92,7.200000000000539,-8.300000000001084,-9.300000000001084,-85.56000000000998,SL,9560.629999999948
261,7900,short,2026-06-03 18:00:00,2026-06-03 18:01:00,2026-06-04 01:57:00,1.16086,1.16167,1.15924,1.16097,0.84,8.099999999999774,-1.100000000000545,-2.100000000000545,-17.640000000004576,BE,9542.989999999943
272,8946,short,2026-06-04 11:28:00,2026-06-04 11:29:00,2026-06-04 12:00:00,1.16076,1.16143,1.1594200000000001,1.16154,0.96,6.699999999999484,-7.800000000000029,-8.80000000000003,-84.48000000000027,SL,9458.509999999944
444,11747,short,2026-06-08 10:14:00,2026-06-08 10:15:00,2026-06-08 12:22:00,1.15222,1.1531,1.15046,1.15057,0.78,8.799999999999919,16.499999999999293,15.499999999999293,120.89999999999449,TP,9579.409999999938
443,11948,short,2026-06-08 13:35:00,2026-06-08 13:36:00,2026-06-08 14:14:00,1.15227,1.15346,1.1498899999999999,1.15357,0.63,11.900000000000244,-13.000000000000789,-14.000000000000789,-88.20000000000498,SL,9491.209999999934
497,12138,long,2026-06-08 16:45:00,2026-06-08 16:46:00,2026-06-08 17:05:00,1.15482,1.15401,1.15644,1.1539,0.83,8.099999999999774,-9.200000000000319,-10.200000000000319,-84.66000000000264,SL,9406.54999999993
507,12876,short,2026-06-09 05:05:00,2026-06-09 05:06:00,2026-06-09 07:38:00,1.15385,1.15439,1.15277,1.1545,1.09,5.399999999999849,-6.500000000000394,-7.500000000000394,-81.7500000000043,SL,9324.799999999927
515,13581,short,2026-06-09 16:50:00,2026-06-09 16:51:00,2026-06-09 19:23:00,1.15668,1.15797,1.1541,1.15421,0.57,12.900000000000134,24.699999999999722,23.699999999999722,135.0899999999984,TP,9459.889999999925
544,13776,short,2026-06-09 20:05:00,2026-06-09 20:06:00,2026-06-09 20:21:00,1.1542599999999998,1.15499,1.1527999999999996,1.1551,0.9,7.300000000001194,-8.40000000000174,-9.40000000000174,-84.60000000001565,SL,9375.28999999991
566,14940,short,2026-06-10 15:31:00,2026-06-10 15:32:00,2026-06-10 15:41:00,1.15439,1.15556,1.1520500000000002,1.15567,0.62,11.699999999998933,-12.799999999999478,-13.799999999999478,-85.55999999999676,SL,9289.729999999912
573,15138,long,2026-06-10 18:49:00,2026-06-10 18:50:00,2026-06-10 23:43:00,1.1548,1.1536600000000001,1.1570799999999999,1.15355,0.63,11.399999999999189,-12.499999999999734,-13.499999999999734,-85.04999999999832,SL,9204.679999999915
637,16394,short,2026-06-11 15:47:00,2026-06-11 15:48:00,2026-06-11 15:55:00,1.15359,1.1542999999999999,1.15217,1.15441,0.89,7.099999999999884,-8.20000000000043,-9.20000000000043,-81.88000000000383,SL,9122.79999999991
814,18420,long,2026-06-15 01:38:00,2026-06-15 01:39:00,2026-06-15 03:57:00,1.16074,1.15995,1.1623200000000002,1.15984,0.82,7.900000000000684,-9.00000000000123,-10.00000000000123,-82.00000000001009,SL,9040.7999999999
953,23270,long,2026-06-18 10:34:00,2026-06-18 10:35:00,2026-06-18 11:04:00,1.15091,1.15032,1.1520900000000003,1.1508,0.99,5.9000000000009045,-1.100000000000545,-2.100000000000545,-20.790000000005392,BE,9020.009999999895
1008,23636,short,2026-06-18 16:40:00,2026-06-18 16:41:00,2026-06-18 17:25:00,1.14773,1.14863,1.1459299999999997,1.14784,0.73,9.00000000000123,-1.100000000000545,-2.100000000000545,-15.330000000003977,BE,9004.679999999891
1066,23750,long,2026-06-18 18:34:00,2026-06-18 18:35:00,2026-06-18 18:59:00,1.14774,1.14693,1.14936,1.14682,0.79,8.099999999999774,-9.200000000000319,-10.200000000000319,-80.58000000000251,SL,8924.09999999989
1082,24739,short,2026-06-19 11:05:00,2026-06-19 11:06:00,2026-06-19 11:23:00,1.14517,1.14577,1.1439700000000002,1.14588,0.97,5.999999999999339,-7.099999999999884,-8.099999999999884,-78.56999999999887,SL,8845.52999999989
